Product_Id,Product Name,Product_Url,Image_Url,Company Name
10260549,Femella Women Black &amp; Maroon Striped A-Line Dress,www.myntra.com/dresses/femella/femella-women-black--maroon-striped-a-line-dress/10260549/buy,http://assets.myntassets.com/assets/images/10260549/2019/7/19/4b7bfaa0-f05d-4b83-93a6-f52f02fc0e671563515929237-Femella-Women-Black--Maroon-A-Line-Dress-5421563515927368-1.jpg,Myntra
10255995,STREET 9 Women Yellow &amp; Red Printed Fit &amp; Flare Dress,www.myntra.com/dresses/street-9/street-9-women-yellow--red-printed-fit--flare-dress/10255995/buy,http://assets.myntassets.com/assets/images/10255995/2019/7/30/b799ca09-7c03-4d81-a25a-1c460a6fc20c1564467985043-STREET-9-Women-Yellow--Red-Printed-Fit--Flare-Dress-58156446-1.jpg,Myntra
9556607,DOROTHY PERKINS Women Red Lace Midi Fit &amp; Flare Dress,www.myntra.com/dresses/dorothy-perkins/dorothy-perkins-women-red-lace-midi-fit--flare-dress/9556607/buy,http://assets.myntassets.com/assets/images/9556607/2019/5/28/5a3106ec-f879-42b8-8d39-3f69b59106901559021081216-DOROTHY-PERKINS-Women-Dresses-7641559021080671-1.jpg,Myntra
9824661,MIAMINX Women Blue Printed A-Line Dress,www.myntra.com/dresses/miaminx/miaminx-women-blue-printed-a-line-dress/9824661/buy,http://assets.myntassets.com/assets/images/9824661/2019/5/27/7a6ac02e-2746-4f81-8612-a863c5e95a9a1558950452119-MIAMINX-Women-Blue-Dress-5391558950450863-1.jpg,Myntra
2077156,HERE&amp;NOW Women Red Printed A-Line Dress,www.myntra.com/dresses/herenow/herenow-women-red-printed-a-line-dress/2077156/buy,http://assets.myntassets.com/assets/images/2077156/2017/9/4/11504511675819-HERENOW-Women-Dresses-6451504511675615-1.jpg,Myntra
9720179,Libas Women Peach-Coloured &amp; Golden Block Print Maxi Dress,www.myntra.com/dresses/libas/libas-women-peach-coloured--golden-block-print-maxi-dress/9720179/buy,http://assets.myntassets.com/assets/images/9720179/2019/5/31/98673723-ae38-4d6f-9dad-6ed54ac7c3951559279151071-Libas-Women-Peach-Coloured-Printed-Maxi-Dress-54615592791500-1.jpg,Myntra
9307621,DOROTHY PERKINS Women Grey &amp; Black Snakeskin Print Fit and Flare Dress,www.myntra.com/dresses/dorothy-perkins/dorothy-perkins-women-grey--black-snakeskin-print-fit-and-flare-dress/9307621/buy,http://assets.myntassets.com/assets/images/9307621/2019/5/14/040fea63-ab0b-4c40-8f49-b45d6a57cc1b1557836612660-DOROTHY-PERKINS-Women-Grey--Black-Snakeskin-Print-Fit-and-Fl-1.jpg,Myntra
9316061,ONLY Women Brown &amp; Black Printed A-Line Semi-Sheer Dress,www.myntra.com/dresses/only/only-women-brown--black-printed-a-line-semi-sheer-dress/9316061/buy,http://assets.myntassets.com/assets/images/9316061/2019/4/26/20822cd6-99b1-4504-9533-2e500336b64d1556263182649-ONLY-Women-Dresses-6291556263181499-1.jpg,Myntra
9371785,Sangria Women Navy Blue Striped Fit and Flare Dress,www.myntra.com/dresses/sangria/sangria-women-navy-blue-striped-fit-and-flare-dress/9371785/buy,http://assets.myntassets.com/assets/images/9371785/2019/5/14/10fd2154-c7d0-4f55-94e0-6d32d34cacde1557837670940-Sangria-Women-Kurtas-8351557837669835-1.jpg,Myntra
9868933,StyleStone Women Multicoloured Printed Fit and Flare Dress,www.myntra.com/dresses/stylestone/stylestone-women-multicoloured-printed-fit-and-flare-dress/9868933/buy,http://assets.myntassets.com/assets/images/productimage/2019/5/31/7b05c3d1-862d-4fe4-9644-85c6450d67861559295260216-1.jpg,Myntra
